,Area,Bathrooms,Bedrooms,Sales Price
0,8450,4,3,208500
1,9600,3,3,181500
2,11250,4,3,223500
3,9550,2,3,140000
4,14260,4,4,250000
5,14115,3,1,143000
6,10084,3,3,307000
7,10382,4,3,200000
8,6120,2,2,129900
9,7420,2,2,118000
10,11200,2,3,129500
11,11924,4,4,345000
12,12968,2,2,144000
13,10652,2,3,279500
14,10920,3,2,157000
15,6120,1,2,132000
16,11241,2,2,149000
17,10791,2,2,90000
18,13695,3,3,159000
19,7560,1,3,139000
20,14215,4,4,325300
21,7449,1,3,139400
22,9742,2,3,230000
23,4224,2,3,129900
24,8246,2,3,154000
25,14230,2,3,256300
26,7200,2,3,134800
27,11478,3,3,306000
28,16321,2,2,207500
29,6324,1,1,68500
30,8500,1,3,40000
31,8544,2,3,149350
32,11049,2,3,179900
33,10552,3,4,165500
34,7313,3,2,277500
35,13418,4,4,309000
36,10859,2,3,145000
37,8532,2,3,153000
38,7922,2,3,109000
39,6040,2,2,82000
40,8658,2,3,160000
41,16905,3,2,170000
42,9180,2,2,144000
43,9200,2,3,130250
44,7945,2,3,141000
45,7658,3,2,319900
46,12822,3,1,239686
47,11096,2,3,249700
48,4456,2,2,113000
49,7742,2,3,127000
50,13869,3,3,177000
51,6240,1,3,114500
52,8472,2,2,110000
53,50271,3,0,385000
54,7134,1,3,130000
55,10175,2,3,180500
56,2645,4,3,172500
57,11645,3,3,196500
58,13682,4,3,438780
59,7200,1,2,124900
60,13072,3,3,158000
61,7200,1,3,101000
62,6442,2,2,202500
63,10300,2,3,140000
64,9375,4,3,219500
65,9591,3,4,317000
66,19900,3,3,180000
67,10665,3,3,226000
68,4608,1,2,80000
69,15593,2,3,225000
70,13651,3,3,244000
71,7599,2,2,129500
72,10141,3,3,185000
73,10200,2,3,144900
74,5790,2,3,107400
75,1596,2,2,91000
76,8475,1,2,135750
77,8635,2,2,127000
78,10778,2,4,136500
79,10440,2,2,110000
80,13000,3,4,193500
81,4500,3,2,153500
82,10206,2,3,245000
83,8892,2,3,126500
84,8530,3,3,168500
